Date,Store_ID,Store_Type,Store_Size,Dept_ID,Dept_Name,Weekly_Sales,IsHoliday,Holiday_Name,Markdown_Discount,Promotional_Flag,Temperature,Fuel_Price,CPI,Unemployment_Rate
2021-01-01,1,A,150000,1,Electronics,48356.88,0,None,0.0,0,35.7,3.139,210.248,7.52
2021-01-08,1,A,150000,1,Electronics,48052.62,0,None,0.0,0,44.5,3.144,210.068,7.49
2021-01-15,1,A,150000,1,Electronics,49517.76,0,None,1154.62,1,36.4,3.281,210.599,7.49
2021-01-22,1,A,150000,1,Electronics,42339.5,0,None,0.0,0,36.5,3.323,211.174,7.39
2021-01-29,1,A,150000,1,Electronics,50128.12,0,None,0.0,0,40.1,3.34,210.432,7.45
2021-02-05,1,A,150000,1,Electronics,45891.73,0,None,0.0,0,37.8,3.337,210.57,7.49
2021-02-12,1,A,150000,1,Electronics,55328.8,1,Super Bowl,1705.51,1,31.6,3.341,211.614,7.57
2021-02-19,1,A,150000,1,Electronics,46959.04,0,None,0.0,0,48.6,3.483,211.345,7.51
2021-02-26,1,A,150000,1,Electronics,48078.43,0,None,0.0,0,46.8,3.641,210.864,7.62
2021-03-05,1,A,150000,1,Electronics,48593.3,0,None,4259.33,1,48.5,3.641,211.508,7.31
2021-03-12,1,A,150000,1,Electronics,53267.78,0,None,3676.1,1,52.1,3.574,211.142,7.47
2021-03-19,1,A,150000,1,Electronics,46535.04,0,None,0.0,0,58.9,3.734,211.278,7.39
2021-03-26,1,A,150000,1,Electronics,49586.74,0,None,0.0,0,53.8,3.794,211.769,7.57
2021-04-02,1,A,150000,1,Electronics,51985.96,0,None,2779.56,1,51.3,3.733,210.829,7.26
2021-04-09,1,A,150000,1,Electronics,50709.14,0,None,0.0,0,58.7,3.853,211.061,7.25
2021-04-16,1,A,150000,1,Electronics,51659.81,0,None,1417.01,1,58.2,3.879,211.779,7.26
2021-04-23,1,A,150000,1,Electronics,48780.75,0,None,0.0,0,66.5,3.813,211.691,7.09
2021-04-30,1,A,150000,1,Electronics,45436.08,0,None,0.0,0,72.8,3.959,212.492,7.24
2021-05-07,1,A,150000,1,Electronics,43814.24,0,None,0.0,0,65.7,3.997,212.019,7.21
2021-05-14,1,A,150000,1,Electronics,48356.01,0,None,0.0,0,76.2,4.057,211.904,7.29
2021-05-21,1,A,150000,1,Electronics,48228.85,0,None,0.0,0,83.1,4.068,213.48,7.29
2021-05-28,1,A,150000,1,Electronics,60068.41,1,Memorial Day,3286.6,1,77.5,3.883,212.772,7.43
2021-06-04,1,A,150000,1,Electronics,47898.24,0,None,2805.15,1,78.2,3.924,213.056,7.33
2021-06-11,1,A,150000,1,Electronics,45801.83,0,None,0.0,0,85.7,4.041,212.447,7.16
2021-06-18,1,A,150000,1,Electronics,53986.36,0,None,0.0,0,79.0,4.038,213.025,7.12
2021-06-25,1,A,150000,1,Electronics,47793.4,0,None,0.0,0,82.7,4.03,213.49,7.25
2021-07-02,1,A,150000,1,Electronics,50166.55,0,None,0.0,0,79.7,4.286,212.996,7.05
2021-07-09,1,A,150000,1,Electronics,45244.95,0,None,0.0,0,72.6,4.007,213.897,7.36
2021-07-16,1,A,150000,1,Electronics,44786.01,0,None,0.0,0,76.8,4.032,213.546,7.28
2021-07-23,1,A,150000,1,Electronics,47734.26,0,None,0.0,0,80.8,3.994,213.838,7.1
2021-07-30,1,A,150000,1,Electronics,50206.96,0,None,0.0,0,80.3,3.942,213.82,6.97
2021-08-06,1,A,150000,1,Electronics,70226.88,0,None,0.0,0,79.9,3.833,215.184,7.26
2021-08-13,1,A,150000,1,Electronics,68407.05,0,None,3154.15,1,84.0,3.883,214.389,7.1
2021-08-20,1,A,150000,1,Electronics,80178.19,0,None,4487.5,1,73.7,3.722,214.004,7.22
2021-08-27,1,A,150000,1,Electronics,70591.89,0,None,3499.84,1,76.7,3.723,215.082,6.93
2021-09-03,1,A,150000,1,Electronics,66497.66,0,None,1262.75,1,74.0,3.658,214.197,7.02
2021-09-10,1,A,150000,1,Electronics,86737.56,1,Labor Day,2759.36,1,70.3,3.655,215.049,7.07
2021-09-17,1,A,150000,1,Electronics,68668.49,0,None,0.0,0,59.6,3.784,214.103,7.06
2021-09-24,1,A,150000,1,Electronics,62192.81,0,None,1227.71,1,59.5,3.396,214.556,7.0
2021-10-01,1,A,150000,1,Electronics,47822.11,0,None,0.0,0,62.2,3.545,215.456,7.09
2021-10-08,1,A,150000,1,Electronics,52301.7,0,None,3363.89,1,62.4,3.305,215.864,6.91
2021-10-15,1,A,150000,1,Electronics,50428.57,0,None,0.0,0,60.1,3.337,215.718,6.99
2021-10-22,1,A,150000,1,Electronics,48565.24,0,None,916.43,1,52.8,3.403,215.711,7.0
2021-10-29,1,A,150000,1,Electronics,47991.23,0,None,0.0,0,56.7,3.26,215.756,7.03
2021-11-05,1,A,150000,1,Electronics,89806.69,0,None,0.0,0,51.3,3.107,215.305,7.04
2021-11-12,1,A,150000,1,Electronics,93775.75,0,None,0.0,0,51.6,3.074,215.821,6.84
2021-11-19,1,A,150000,1,Electronics,83123.76,0,None,1672.59,1,43.5,3.123,216.088,6.79
2021-11-26,1,A,150000,1,Electronics,176534.1,1,Thanksgiving / Black Friday,4070.69,1,52.5,2.949,216.985,7.06
2021-12-03,1,A,150000,1,Electronics,182257.74,1,Thanksgiving / Black Friday,1537.69,1,47.7,2.963,216.765,6.95
2021-12-10,1,A,150000,1,Electronics,81808.87,0,None,0.0,0,34.9,2.888,215.849,6.83
2021-12-17,1,A,150000,1,Electronics,79888.86,0,None,0.0,0,47.5,2.773,217.03,7.05
2021-12-24,1,A,150000,1,Electronics,163676.36,1,Christmas / New Year,4293.81,1,37.2,2.938,216.813,6.9
2021-12-31,1,A,150000,1,Electronics,174848.32,1,Christmas / New Year,3973.87,1,40.2,2.76,216.804,6.99
2022-01-07,1,A,150000,1,Electronics,48318.05,0,None,0.0,0,38.0,2.492,217.586,6.87
2022-01-14,1,A,150000,1,Electronics,54303.82,0,None,0.0,0,37.8,2.617,217.933,7.05
2022-01-21,1,A,150000,1,Electronics,49652.96,0,None,0.0,0,40.8,2.498,218.021,7.01
2022-01-28,1,A,150000,1,Electronics,46237.31,0,None,0.0,0,37.9,2.571,217.273,6.8
2022-02-04,1,A,150000,1,Electronics,49785.38,0,None,0.0,0,39.8,2.395,217.675,6.91
2022-02-11,1,A,150000,1,Electronics,62859.98,1,Super Bowl,1596.22,1,36.6,2.407,218.133,6.86
2022-02-18,1,A,150000,1,Electronics,50001.45,0,None,0.0,0,44.8,2.418,218.592,6.92
2022-02-25,1,A,150000,1,Electronics,47049.18,0,None,0.0,0,47.5,2.411,218.002,6.68
2022-03-04,1,A,150000,1,Electronics,45096.1,0,None,0.0,0,47.5,2.214,218.286,6.83
2022-03-11,1,A,150000,1,Electronics,48676.52,0,None,0.0,0,42.4,2.256,217.963,6.86
2022-03-18,1,A,150000,1,Electronics,48085.67,0,None,0.0,0,50.6,2.22,218.056,6.56
2022-03-25,1,A,150000,1,Electronics,52768.01,0,None,0.0,0,46.6,2.186,219.197,6.61
2022-04-01,1,A,150000,1,Electronics,47351.6,0,None,0.0,0,51.2,2.364,219.607,6.51
2022-04-08,1,A,150000,1,Electronics,49876.01,0,None,0.0,0,67.9,2.243,219.03,6.68
2022-04-15,1,A,150000,1,Electronics,51879.56,0,None,624.73,1,60.7,2.102,219.705,6.76
2022-04-22,1,A,150000,1,Electronics,48338.89,0,None,2485.46,1,56.6,2.274,219.521,6.83
2022-04-29,1,A,150000,1,Electronics,49674.32,0,None,0.0,0,69.2,2.371,219.155,6.67
2022-05-06,1,A,150000,1,Electronics,46070.53,0,None,0.0,0,74.9,2.289,219.796,6.82
2022-05-13,1,A,150000,1,Electronics,51343.21,0,None,0.0,0,68.6,2.095,220.522,6.5
2022-05-20,1,A,150000,1,Electronics,45647.3,0,None,0.0,0,76.4,2.191,219.872,6.46
2022-05-27,1,A,150000,1,Electronics,58339.65,1,Memorial Day,866.33,1,79.2,2.349,220.81,6.61
2022-06-03,1,A,150000,1,Electronics,54016.16,0,None,2667.6,1,78.9,2.213,218.855,6.64
2022-06-10,1,A,150000,1,Electronics,53061.52,0,None,0.0,0,80.5,2.331,220.713,6.59
2022-06-17,1,A,150000,1,Electronics,49843.87,0,None,0.0,0,83.7,2.388,220.483,6.37
2022-06-24,1,A,150000,1,Electronics,52014.93,0,None,0.0,0,73.9,2.285,220.427,6.56
2022-07-01,1,A,150000,1,Electronics,55085.66,0,None,3289.68,1,81.9,2.392,220.76,6.43
2022-07-08,1,A,150000,1,Electronics,50026.18,0,None,0.0,0,81.0,2.177,219.858,6.61
2022-07-15,1,A,150000,1,Electronics,49037.09,0,None,0.0,0,84.7,2.398,220.879,6.57
2022-07-22,1,A,150000,1,Electronics,50425.62,0,None,0.0,0,85.4,2.507,221.305,6.43
2022-07-29,1,A,150000,1,Electronics,47716.89,0,None,0.0,0,79.5,2.476,222.003,6.46
2022-08-05,1,A,150000,1,Electronics,66421.13,0,None,0.0,0,85.7,2.758,221.142,6.39
2022-08-12,1,A,150000,1,Electronics,64976.28,0,None,0.0,0,77.7,2.567,221.134,6.48
2022-08-19,1,A,150000,1,Electronics,67979.59,0,None,0.0,0,82.3,2.703,221.425,6.57
2022-08-26,1,A,150000,1,Electronics,69467.73,0,None,0.0,0,80.0,2.806,222.271,6.36
2022-09-02,1,A,150000,1,Electronics,65547.19,0,None,0.0,0,74.8,2.97,222.115,6.5
2022-09-09,1,A,150000,1,Electronics,87555.47,1,Labor Day,2419.5,1,78.1,2.8,221.823,6.38
2022-09-16,1,A,150000,1,Electronics,65873.65,0,None,0.0,0,71.5,3.069,222.482,6.34
2022-09-23,1,A,150000,1,Electronics,64540.01,0,None,0.0,0,73.6,3.039,222.411,6.4
2022-09-30,1,A,150000,1,Electronics,67026.39,0,None,1918.49,1,68.4,3.021,222.984,6.3
2022-10-07,1,A,150000,1,Electronics,50509.61,0,None,0.0,0,58.4,3.199,222.286,6.33
2022-10-14,1,A,150000,1,Electronics,48028.42,0,None,0.0,0,60.9,3.24,222.611,6.26
2022-10-21,1,A,150000,1,Electronics,53060.4,0,None,0.0,0,60.1,3.237,222.716,6.56
2022-10-28,1,A,150000,1,Electronics,56324.15,0,None,0.0,0,53.9,3.351,222.318,6.36
2022-11-04,1,A,150000,1,Electronics,105179.74,0,None,4464.67,1,49.5,3.374,223.335,6.27
2022-11-11,1,A,150000,1,Electronics,87504.46,0,None,0.0,0,56.3,3.471,223.455,6.35
2022-11-18,1,A,150000,1,Electronics,92740.39,0,None,0.0,0,45.4,3.571,223.464,6.3
2022-11-25,1,A,150000,1,Electronics,191600.84,1,Thanksgiving / Black Friday,1900.5,1,42.9,3.699,223.482,6.28
2022-12-02,1,A,150000,1,Electronics,188099.73,1,Thanksgiving / Black Friday,3284.08,1,41.2,3.525,223.029,6.35
